filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
1880070950.jpg	233	157	71.8336	95	51.4304	14	40.8746
1880070951.jpg	234	157	58.5882	110	42.0596	18	17.468
1880070953.jpg	235	152	57.2534	55	17.5418	16	77.3185
1880070957.jpg	236	168	57.8887	143	85.0064	23	27.8537
1880070958.jpg	237	122	83.0278	127	60.2097	16	30.892
188007096.jpg	238	94	77.9036	16	39.5656	42	54.2218
1880070960.jpg	239	126	74.6903	93	45.9407	14	15.039
1880070967.jpg	240	141	98.8825	0	26.7985	0	63.3733
1880070969.jpg	241	126	64.3454	149	43.3459	19	23.3103
188007097.jpg	242	0	52.3118	0	55.6237	0	24.4875
1880070970.jpg	243	105	67.9659	137	49.3608	21	53.411
1880070971.jpg	244	117	70.8998	126	54.2916	19	39.4294
1880070972.jpg	245	118	61.2101	110	49.2945	16	19.0082
1880070973.jpg	246	98	80.7122	134	61.4302	16	30.3769
1880070974.jpg	247	120	73.9928	138	67.8231	17	33.3564
1880070975.jpg	248	123	71.619	121	58.1574	15	25.1554
1880070977.jpg	249	125	52.3473	80	28.2364	13	39.4141
1880070979.jpg	250	99	50.6637	90	40.2395	25	32.4703
188007098.jpg	251	99	69.5344	71	55.944	15	67.1713
1880070980.jpg	252	141	69.4907	128	46.5027	18	20.4461
1880070981.jpg	253	15	80.6601	55	65.001	26	31.6803
1880070982.jpg	254	129	74.438	58	25.6229	12	56.7865
1880070983.jpg	255	142	65.5944	109	48.9834	15	13.565
1880070984.jpg	256	193	66.4269	6	46.0677	35	60.486
1880070985.jpg	257	153	64.669	15	35.74	26	10.6469
1880070986.jpg	258	185	66.7499	6	45.3186	35	63.5661
1880070987.jpg	259	91	48.0343	137	44.8004	16	31.658
1880070988.jpg	260	162	73.4977	115	46.1517	18	13.8289
1880070990.jpg	261	152	69.3023	117	36.7601	20	17.8
1880070991.jpg	262	158	71.7382	98	48.2054	19	20.7119
1880070993.jpg	263	113	73.2294	107	57.0556	12	29.8848
1880070994.jpg	264	145	59.9455	120	43.2622	14	22.6748
1880070995.jpg	265	122	62.2428	124	49.7193	13	32.8966
1880070996.jpg	266	131	67.4639	113	52.0693	14	31.8352
1880070997.jpg	267	156	72.3735	96	53.3439	12	37.9233
